edge_id,road_name,road_class,road_surface,lanes,highway_rt,length_feature_m,length_calc_m,from,to,elev_from,geometry.x,elev_to,geometry.y,elev_diff,slope,length_3d_m
2624017,Harvey Ave,arterial,paved,3,97,21.4824,21.48235263155692,4940,4954,1774,"c(1469406, 562341.5)",1783,"c(1469427.5, 562343.5)",9,0.41894852739635574,23.291446382450374
2624021,Dayton St Pedestrian and Cycling Overpass,trail,paved,1,NA,17.73,17.730022024704542,4942,4940,1775,"c(1469407, 562359.5)",1774,"c(1469406, 562341.5)",-1,-0.056401509180678204,17.758200387328333
2624020,Harvey Ave,arterial,paved,3,97,159.6061,159.60611160840358,4942,4855,1775,"c(1469407, 562359.5)",1728,"c(1469248, 562344)",-47,-0.29447493912586087,166.3824235391292
2624024,Dayton St Pedestrian and Cycling Overpass,trail,paved,1,NA,33.9732,33.97315816004439,4955,4942,1784,"c(1469427.5, 562377)",1775,"c(1469407, 562359.5)",-9,-0.2649150237255493,35.145063314317575
2624019,Harvey Ave,arterial,paved,3,97,10.3748,10.374821299581113,4949,4942,1780,"c(1469417.5, 562360.5)",1775,"c(1469407, 562359.5)",-5,-0.48193601177515,11.516810191986405
2624023,access road,service,paved,1,NA,19.6065,19.606470385318,4955,4949,1784,"c(1469427.5, 562377)",1780,"c(1469417.5, 562360.5)",-4,-0.2040142831111171,20.010339351703955
2553913,Harvey Ave,arterial,paved,3,97,22.2367,22.236650219877152,4962,4949,1790,"c(1469439.5, 562363.5)",1780,"c(1469417.5, 562360.5)",-10,-0.44970802261669274,24.38172703073272
2538476,Burtch Rd,collector,paved,2,NA,118.0695,118.06946121519329,4748,4689,1665,"c(1469091, 562452)",1631,"c(1469018, 562363)",-34,-0.2879660807296447,122.8673987339442
2510273,Harvey Ave,arterial,paved,3,97,123.7741,123.7740683663715,5004,4962,1808,"c(1469562.5, 562376)",1790,"c(1469439.5, 562363.5)",-18,-0.14542626123203742,125.07605686126823
2624022,access road,service,paved,1,NA,13.0231,13.02311744552886,4959,4955,1788,"c(1469434, 562388)",1784,"c(1469427.5, 562377)",-4,-0.3071461204838703,13.623567374224642
2624028,Dayton St Pedestrian and Cycling Overpass,trail,paved,1,NA,8.5977,8.597706961783786,4960,4955,1789,"c(1469436, 562377.5)",1784,"c(1469427.5, 562377)",-5,-0.5815504089898219,9.94588181111687
1927582,Leaside Ave,local,paved,2,NA,101.3451,101.34505849474402,4585,4672,1576,"c(1468883.5, 563068)",1622,"c(1468984, 563077)",46,0.45389484877928865,111.29609553485282
1829667,Athans Crt,local,paved,2,NA,150.9882,150.9881704215867,4736,4656,1657,"c(1469080, 562998)",1612,"c(1468963, 562948.5)",-45,-0.2980365936904311,157.55134911278324
2542489,Bernard Ave,collector,paved,2,NA,20.2836,20.283625958960428,4992,5001,1805,"c(1469541, 563020)",1806,"c(1469557.5, 563031.5)",1,0.04930084995765973,20.308261423445714
2542490,Bernard Ave,collector,paved,2,NA,16.986,16.986001206937807,5001,5009,1806,"c(1469557.5, 563031.5)",1811,"c(1469571.5, 563041)",5,0.29436004031118207,17.706615628123085
2545847,Okanagan Rail Trail,trail,loose,1,NA,281.6153,281.6153101560372,5144,5001,1863,"c(1469774, 562866.5)",1806,"c(1469557.5, 563031.5)",-57,-0.20240376834774176,287.3259175819004
2545848,Spall Rd,arterial,paved,2,NA,54.2506,54.25058898695431,5137,5144,1860,"c(1469769.5, 562920.5)",1863,"c(1469774, 562866.5)",3,0.05529893879532649,54.333474078430214
2545846,Okanagan Rail Trail,trail,loose,1,NA,13.7684,13.76838791556572,5161,5144,1873,"c(1469788, 562867.5)",1863,"c(1469774, 562866.5)",-10,-0.7263014422112988,17.01671254365825
